global_step,episode,episode_inner_step,buffer_size,epsilon,episode_reward_so_far,episode_avg_loss_so_far
5000,1,5000,5000,0.9970453671641791,3168.7536388635635,45.06678039283752
10000,1,10000,10000,0.9940901432835821,6310.184166908264,23.88702878281623
15000,1,15000,15000,0.991134919402985,9324.557539463043,15.998125121429563
20000,1,20000,20000,0.988179695522388,12657.024204134941,12.162894787352531
25000,1,25000,25000,0.985224471641791,15297.961649537086,9.798061527396813
30000,1,30000,30000,0.9822692477611941,17668.847162246704,8.201206283864565
35000,1,35000,35000,0.9793140238805971,20055.707780718803,7.052322330168635
40000,1,40000,40000,0.9763588,22349.77301120758,6.1850815424483505
45000,1,45000,45000,0.973403576119403,24701.421993255615,5.508603947650807
50000,1,50000,50000,0.970448352238806,27093.439906477928,4.967020297435112
55000,1,55000,55000,0.967493128358209,29443.131382226944,4.522023392893805
60000,1,60000,60000,0.9645379044776119,31881.484998464584,4.149628657643136
65000,1,65000,65000,0.9615826805970149,34272.885112285614,3.8342464582388254
70000,1,70000,70000,0.9586274567164179,36751.42160093784,3.5630481172413764
75000,1,75000,75000,0.9556722328358209,39141.403901815414,3.327951430885374
80000,1,80000,80000,0.9527170089552239,41479.712565779686,3.1220697460752156
85000,1,85000,85000,0.9497617850746268,43931.503323197365,2.9403290483687043
90000,1,90000,90000,0.9468065611940298,46369.485966563225,2.7785100284350537
95000,1,95000,95000,0.9438513373134328,48901.78755223751,2.633590700471781
100000,1,100000,100000,0.9408961134328359,54408.84196126461,2.503080685269231
105000,1,105000,105000,0.9379408895522388,57234.50780558586,2.385065794350959
110000,1,110000,110000,0.9349856656716418,59643.102772951126,2.277446019077491
115000,1,115000,115000,0.9320304417910448,62060.245626330376,2.1795997985935838
120000,1,120000,120000,0.9290752179104478,64598.049031972885,2.0900305865582474
125000,1,125000,125000,0.9261199940298508,67055.19513320923,2.007406608843611
130000,1,130000,130000,0.9231647701492537,69572.0545977354,1.9308390088414562
135000,1,135000,135000,0.9202095462686567,72033.91305696964,1.859787387350853
140000,1,140000,140000,0.9172543223880597,76208.87692272663,1.7937586428492442
145000,1,145000,145000,0.9142990985074627,80137.91148233414,1.7326124267411096
150000,1,150000,150000,0.9113438746268657,83621.18396735191,1.6752998908032037
155000,1,155000,155000,0.9083886507462686,86277.80705869198,1.6215889603462799
160000,1,160000,160000,0.9054334268656716,88923.62086224556,1.571274547458237
165000,1,165000,165000,0.9024782029850746,91623.88741505146,1.5238907955928476
170000,1,170000,170000,0.8995229791044776,94196.2584373951,1.4793024996421458
175000,1,175000,175000,0.8965677552238807,96763.51424121857,1.4372304527280497
180000,1,180000,180000,0.8936125313432836,99395.12629294395,1.3975098447141832
185000,1,185000,185000,0.8906573074626866,101938.10678315163,1.3599266655790339
190000,1,190000,190000,0.8877020835820896,104565.14856159687,1.324349097938797
195000,1,195000,195000,0.8847468597014926,107162.53946518898,1.2905564812528578
200000,1,200000,200000,0.8817916358208955,109932.15505933762,1.2584519315802543
205000,1,205000,205000,0.8788364119402985,112563.23237621784,1.227905397223062
210000,1,210000,210000,0.8758811880597015,115129.70167422295,1.1988124103063158
215000,1,215000,215000,0.8729259641791045,117750.89315915108,1.1710656798207633
220000,1,220000,220000,0.8699707402985075,120374.18909013271,1.1445896271459441
225000,1,225000,225000,0.8670155164179105,123098.87894070148,1.1192750419770243
230000,1,230000,230000,0.8640602925373134,125857.24379718304,1.0950518355814238
235000,1,235000,235000,0.8611050686567164,128600.18914413452,1.0718401730061802
240000,1,240000,240000,0.8581498447761194,131254.43027734756,1.0495937393764572
245000,1,245000,245000,0.8551946208955223,133977.10410511494,1.0282565946331188
250000,1,250000,250000,0.8522393970149253,136709.33575034142,1.0077661587184117
255000,1,255000,255000,0.8492841731343284,139376.11431336403,0.9880894170241572
260000,1,260000,260000,0.8463289492537314,142120.7032982111,0.9691491807002093
265000,1,265000,265000,0.8433737253731344,145066.85511994362,0.9509257739930692
270000,1,270000,270000,0.8404185014925374,147826.43661201,0.9333645602530959
275000,1,275000,275000,0.8374632776119403,150559.1509977579,0.9164395527130882
280000,1,280000,280000,0.8345080537313433,153294.7524895668,0.9001174918195016
285000,1,285000,285000,0.8315528298507463,156153.1764008999,0.8843714318969936
290000,1,290000,290000,0.8285976059701492,158988.50722301006,0.869171899308083
295000,1,295000,295000,0.8256423820895522,161886.17224740982,0.8544855387048617
300000,1,300000,300000,0.8226871582089552,164681.44504737854,0.8402859563563659
305000,1,305000,305000,0.8197319343283582,167490.04309630394,0.8265518997830936
310000,1,310000,310000,0.8167767104477612,170304.78926801682,0.8132592648528809
315000,1,315000,315000,0.8138214865671642,173083.53228986263,0.80038807890871
320000,1,320000,320000,0.8108662626865671,175870.8991701603,0.7879203432010711
325000,1,325000,325000,0.8079110388059701,178679.81710529327,0.7758359151129876
330000,1,330000,330000,0.8049558149253732,181561.353749156,0.7641211923951661
335000,1,335000,335000,0.8020005910447761,184492.37617492676,0.7527579334126382
340000,2,4488,340000,0.7990453671641791,3269.6661701202393,0.0023775232649652523
345000,2,9488,345000,0.7960901432835821,6744.12217438221,0.0023933646818054123
350000,2,14488,350000,0.7931349194029851,9946.091796159744,0.002457765282442633
355000,2,19488,355000,0.7901796955223881,13797.782543301582,0.0024686655769938387
360000,2,24488,360000,0.7872244716417911,16864.665259957314,0.0024991945291900756
365000,2,29488,365000,0.7842692477611941,19612.979994654655,0.002519717985703964
370000,2,34488,370000,0.781314023880597,22336.985224604607,0.0025606794680654364
375000,2,39488,375000,0.7783588,25022.63516998291,0.0025504226297802103
380000,2,44488,380000,0.775403576119403,27800.24784743786,0.0025804758148578926
385000,2,49488,385000,0.7724483522388059,30551.485984921455,0.0025898054069124856
390000,2,54488,390000,0.7694931283582089,33408.412986159325,0.002620501146548986
395000,2,59488,395000,0.7665379044776119,36280.68147468567,0.002644329440300984
400000,2,64488,400000,0.763582680597015,38982.028599500656,0.002656634797389469
405000,2,69488,400000,0.760627456716418,41811.456673145294,0.002667645369730735
410000,2,74488,400000,0.757672232835821,44718.22445690632,0.002689922024212982
415000,2,79488,400000,0.7547170089552239,47490.30916309357,0.0027077189069719437
420000,2,84488,400000,0.7517617850746269,50283.46066260338,0.0026993348656167812
425000,2,89488,400000,0.7488065611940298,53026.23738908768,0.0026742422367890535
430000,2,94488,400000,0.7458513373134328,55915.090010643005,0.0026426816521225647
435000,2,99488,400000,0.7428961134328358,61476.51932144165,0.002619810527287529
440000,2,104488,400000,0.7399408895522388,65076.7232568264,0.00261331555973005
445000,2,109488,400000,0.7369856656716418,68005.7516566515,0.0026085362202780855
450000,2,114488,400000,0.7340304417910448,70959.58242082596,0.002605219279107292
455000,2,119488,400000,0.7310752179104478,74063.10207819939,0.002599459935446157
460000,2,124488,400000,0.7281199940298508,77042.03752589226,0.002589310538782512
465000,2,129488,400000,0.7251647701492537,80043.36608016491,0.0025772333471720888
470000,2,134488,400000,0.7222095462686567,83183.38273334503,0.0025684575025933898
475000,2,139488,400000,0.7192543223880598,87347.17834150791,0.002567274337978863
480000,2,144488,400000,0.7162990985074627,91563.66916024685,0.002563976453175593
485000,2,149488,400000,0.7133438746268657,95677.21205127239,0.0025730517121326296
490000,2,154488,400000,0.7103886507462687,98666.94171881676,0.002596801765871384
495000,2,159488,400000,0.7074334268656717,101656.26361954212,0.0026102447333714606
500000,2,164488,400000,0.7044782029850747,104866.98670423031,0.002631724603345682
505000,2,169488,400000,0.7015229791044777,107633.9498693943,0.0026561273329828764
510000,2,174488,400000,0.6985677552238806,110494.47956240177,0.0026748942517449007
515000,2,179488,400000,0.6956125313432836,113508.78325712681,0.0027013878840196097
520000,2,184488,400000,0.6926573074626866,116454.44210910797,0.002751647964482358
525000,2,189488,400000,0.6897020835820895,119389.88235163689,0.0028146978390291297
530000,2,194488,400000,0.6867468597014925,122473.30420017242,0.0028578619799634578
535000,2,199488,400000,0.6837916358208955,125554.84787678719,0.002897076944600033
540000,2,204488,400000,0.6808364119402985,128569.93587267399,0.0029467417577553156
545000,2,209488,400000,0.6778811880597015,131560.84277427197,0.002969091484677009
550000,2,214488,400000,0.6749259641791046,134607.10098314285,0.002983690524505199
555000,2,219488,400000,0.6719707402985075,137651.44238865376,0.0029873384151179643
560000,2,224488,400000,0.6690155164179105,140908.43390655518,0.0029870243287846003
565000,2,229488,400000,0.6660602925373135,144131.3643541336,0.0029929364582973526
570000,2,234488,400000,0.6631050686567164,147134.49364423752,0.0029909712460384702
575000,2,239488,400000,0.6601498447761194,150258.72768747807,0.0029784958644094896
580000,2,244488,400000,0.6571946208955224,153533.63222813606,0.002975256841521164
585000,2,249488,400000,0.6542393970149254,156710.22646546364,0.0029719219559613567
590000,2,254488,400000,0.6512841731343284,159792.32016587257,0.0029716590112708464
595000,2,259488,400000,0.6483289492537314,162996.13900971413,0.002968255805420337
600000,2,264488,400000,0.6453737253731343,166319.53475797176,0.0029623742990564986
605000,2,269488,400000,0.6424185014925373,169498.50569081306,0.0029555800000885496
610000,2,274488,400000,0.6394632776119403,172683.196936965,0.002951485235236164
615000,2,279488,400000,0.6365080537313432,176001.2071698904,0.002947869993087822
620000,2,284488,400000,0.6335528298507462,179101.54033398628,0.0029432598844761604
625000,2,289488,400000,0.6305976059701492,182249.17323958874,0.0029374350890798728
630000,2,294488,400000,0.6276423820895523,185547.72316992283,0.002925216343358677
635000,2,299488,400000,0.6246871582089553,188828.06006073952,0.002914169427702542
640000,2,304488,400000,0.6217319343283583,192160.39729738235,0.0029025339515824857
645000,2,309488,400000,0.6187767104477612,195264.38112080097,0.002892392771933056
650000,2,314488,400000,0.6158214865671642,198463.85848629475,0.0028846239804638098
655000,2,319488,400000,0.6128662626865672,201665.5670017004,0.002875038230232263
660000,2,324488,400000,0.6099110388059701,204848.8997042179,0.0028643581695923896
665000,2,329488,400000,0.6069558149253731,208149.42248034477,0.002851233419048363
670000,2,334488,400000,0.6040005910447761,211443.96909439564,0.002838222085541209
675000,3,3976,400000,0.6010453671641791,3220.630934715271,0.0020895958897863584
680000,3,8976,400000,0.5980901432835821,7193.835293412209,0.002155798986981002
685000,3,13976,400000,0.5951349194029851,10699.498373031616,0.0021412999400740136
690000,3,18976,400000,0.592179695522388,15158.846547722816,0.002195836219921861
695000,3,23976,400000,0.589224471641791,18664.877774953842,0.0021818797447683952
700000,3,28976,400000,0.586269247761194,21837.005977630615,0.0021922167144367505
705000,3,33976,400000,0.5833140238805969,24949.22856593132,0.00216468150121643
710000,3,38976,400000,0.5803588,27954.06092774868,0.0021740725981937298
715000,3,43976,400000,0.577403576119403,31105.602031826973,0.0022009725460415486
720000,3,48976,400000,0.574448352238806,34217.87226676941,0.002228723990717383
725000,3,53976,400000,0.571493128358209,37457.02628540993,0.0022521537981155743
730000,3,58976,400000,0.568537904477612,40773.28664517403,0.0022795445385196656
735000,3,63976,400000,0.5655826805970149,43929.25305736065,0.002291983242956905
740000,3,68976,400000,0.5626274567164179,46998.73458313942,0.002299321942245919
745000,3,73976,400000,0.5596722328358209,50301.04055142403,0.0023070039161457935
750000,3,78976,400000,0.5567170089552238,53567.7588146925,0.002300874329622854
755000,3,83976,400000,0.5537617850746268,56754.030432105064,0.0023165271607680786
760000,3,88976,400000,0.5508065611940298,59951.78465926647,0.0023022958384276418
765000,3,93976,400000,0.5478513373134328,63261.429294109344,0.0022957146422789613
770000,3,98976,400000,0.5448961134328358,68648.75244140625,0.0022944531109968937
775000,3,103976,400000,0.5419408895522388,72970.15174853802,0.0022950377129546326
780000,3,108976,400000,0.5389856656716419,76263.418248415,0.0022882846040855704
785000,3,113976,400000,0.5360304417910449,79684.96311557293,0.002279988001470671
790000,3,118976,400000,0.5330752179104479,83243.11709058285,0.002271885654730264
795000,3,123976,400000,0.5301199940298508,86632.79762732983,0.0022694764966731443
800000,3,128976,400000,0.5271647701492538,90091.07237493992,0.0022705960268797625
805000,3,133976,400000,0.5242095462686567,93649.00666356087,0.0022718145767961586
810000,3,138976,400000,0.5212543223880597,97883.47784280777,0.0022749701392831717
815000,3,143976,400000,0.5182990985074627,102665.50265324116,0.002280664494225138
820000,3,148976,400000,0.5153438746268657,107208.46930336952,0.0022880640683896115
825000,3,153976,400000,0.5123886507462687,110534.50478374958,0.0022969698566351346
830000,3,158976,400000,0.5094334268656717,113903.26291239262,0.002306281729480491
835000,3,163976,400000,0.5064782029850747,117594.2220158577,0.0023221113636323763
840000,3,168976,400000,0.5035229791044777,120674.76575124264,0.002326125506915067
845000,3,173976,400000,0.5005677552238806,123963.12123835087,0.0023317547830862826
850000,3,178976,400000,0.49761253134328354,127374.3614114523,0.002332115596282817
855000,3,183976,400000,0.49465730746268655,130603.97005546093,0.0023382618768727505
860000,3,188976,400000,0.49170208358208956,133906.36917722225,0.0023453207042675736
865000,3,193976,400000,0.48874685970149256,137289.22205650806,0.002351730081028191
870000,3,198976,400000,0.48579163582089546,140891.47878360748,0.002352248247093381
875000,3,203976,400000,0.48283641194029847,144379.36050391197,0.002353491160148682
880000,3,208976,400000,0.4798811880597015,147802.49762046337,0.002349430788539958
885000,3,213976,400000,0.4769259641791045,151331.0858641863,0.002345581829425417
890000,3,218976,400000,0.4739707402985074,154735.59479880333,0.0023353862045544676
895000,3,223976,400000,0.4710155164179105,158258.48924183846,0.0023304951927007925
900000,3,228976,400000,0.4680602925373134,161947.62691915035,0.0023228053175114428
905000,3,233976,400000,0.4651050686567164,165375.23137879372,0.0023198963687765775
910000,3,238976,400000,0.4621498447761193,168756.18187701702,0.0023164322071394113
915000,3,243976,400000,0.45919462089552243,172104.7653220892,0.002315546176775079
920000,3,248976,400000,0.45623939701492533,175759.87998199463,0.0023136362750529873
925000,3,253976,400000,0.45328417313432834,179056.0072091818,0.0023120653116476013
930000,3,258976,400000,0.45032894925373135,182432.3942347765,0.0023093090343781226
935000,3,263976,400000,0.44737372537313436,186238.77761781216,0.0023089411138130333
940000,3,268976,400000,0.44441850149253725,189966.41621816158,0.0023067449863220534
945000,3,273976,400000,0.44146327761194026,193508.96627485752,0.0023078144847072423
950000,3,278976,400000,0.4385080537313434,197226.29168891907,0.002306567876484392
955000,3,283976,400000,0.4355528298507463,200831.4828647375,0.0023044476426621802
960000,3,288976,400000,0.4325976059701493,204267.73890578747,0.002301001935218776
965000,3,293976,400000,0.4296423820895522,207904.5863944292,0.0022981285988297167
970000,3,298976,400000,0.4266871582089553,211561.56042158604,0.002293736126013221
975000,3,303976,400000,0.4237319343283582,215264.11004698277,0.0022938197055783617
980000,3,308976,400000,0.4207767104477612,218863.34236872196,0.0022919421451876366
985000,3,313976,400000,0.4178214865671642,222636.37869477272,0.002290746415192417
990000,3,318976,400000,0.41486626268656723,226245.68185186386,0.0022953028970585988
995000,3,323976,400000,0.41191103880597013,229734.65068399906,0.002297251920882767
1000000,3,328976,400000,0.40895581492537314,233169.81064724922,0.0022987637401926447
1005000,3,333976,400000,0.40600059104477615,237009.5813845396,0.002297553273523885
1010000,4,3464,400000,0.40304536716417916,3106.75934445858,0.0022278119963409612
1015000,4,8464,400000,0.40009014328358206,7432.606960654259,0.002387849087933915
1020000,4,13464,400000,0.3971349194029852,11561.564994215965,0.0024348244924096594
